customerName,phone,city,country,jobTitle,paymentDate,amount,productName,productVendor,buyPrice,amount
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"1982 Camaro Z28","Carousel DieCast Legends",46.53,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"1982 Camaro Z28","Carousel DieCast Legends",46.53,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"1982 Camaro Z28","Carousel DieCast Legends",46.53,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"1982 Camaro Z28","Carousel DieCast Legends",46.53,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"1982 Camaro Z28","Carousel DieCast Legends",46.53,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"1982 Camaro Z28","Carousel DieCast Legends",46.53,6066.78
"Atelier graphique",40.32.2555,Nantes,France,President,2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"VP Sales",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"VP Marketing",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Manager (APAC)",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sale Manager (EMEA)",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Manager (NA)",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
"Atelier graphique",40.32.2555,Nantes,France,"Sales Rep",2004-10-19,6066.78,"The USS Constitution Ship","Red Start Diecast",33.97,6066.78
